## Models alailable for training


#Model	'method' value	Type	Libraries	Turing Parameters

AdaBoost Classification Trees	adaboost	Classification	fastAdaboost	nIter, method
AdaBoost.M1	AdaBoost.M1	Classification	adabag, plyr	mfinal, maxdepth, coeflearn
Adaptive Mixture Discriminant Analysis	amdai	Classification	adaptDA	model
Adaptive-Network-Based Fuzzy Inference System	ANFIS	Regression	frbs	num.labels, max.iter
Adjacent Categories Probability Model for Ordinal Data	vglmAdjCat	Classification	VGAM	parallel, link
Bagged AdaBoost	AdaBag	Classification	adabag, plyr	mfinal, maxdepth
Bagged CART	treebag	Classification, Regression	ipred, plyr, e1071	None
Bagged FDA using gCV Pruning	bagFDAGCV	Classification	earth	degree
Bagged Flexible Discriminant Analysis	bagFDA	Classification	earth, mda	degree, nprune
Bagged Logic Regression	logicBag	Classification, Regression	logicFS	nleaves, ntrees
Bagged MARS	bagEarth	Classification, Regression	earth	nprune, degree
Bagged MARS using gCV Pruning	bagEarthGCV	Classification, Regression	earth	degree
Bagged Model	bag	Classification, Regression	caret	vars
Bayesian Additive Regression Trees	bartMachine	Classification, Regression	bartMachine	num_trees, k, alpha, beta, nu
Bayesian Generalized Linear Model	bayesglm	Classification, Regression	arm	None
Bayesian Regularized Neural Networks	brnn	Regression	brnn	neurons
Bayesian Ridge Regression	bridge	Regression	monomvn	None
Bayesian Ridge Regression (Model Averaged)	blassoAveraged	Regression	monomvn	None
Binary Discriminant Analysis	binda	Classification	binda	lambda.freqs
Boosted Classification Trees	ada	Classification	ada, plyr	iter, maxdepth, nu
Boosted Generalized Additive Model	gamboost	Classification, Regression	mboost, plyr	mstop, prune
Boosted Generalized Linear Model	glmboost	Classification, Regression	plyr, mboost	mstop, prune
Boosted Linear Model	BstLm	Classification, Regression	bst, plyr	mstop, nu
Boosted Logistic Regression	LogitBoost	Classification	caTools	nIter
Boosted Smoothing Spline	bstSm	Classification, Regression	bst, plyr	mstop, nu
Boosted Tree	blackboost	Classification, Regression	party, mboost, plyr	mstop, maxdepth
Boosted Tree	bstTree	Classification, Regression	bst, plyr	mstop, maxdepth, nu
C4.5-like Trees	J48	Classification	RWeka	C, M
C5.0	C5.0	Classification	C50, plyr	trials, model, winnow
CART	rpart	Classification, Regression	rpart	cp
CART	rpart1SE	Classification, Regression	rpart	None
CART	rpart2	Classification, Regression	rpart	maxdepth
CART or Ordinal Responses	rpartScore	Classification	rpartScore, plyr	cp, split, prune
CHi-squared Automated Interaction Detection	chaid	Classification	CHAID	alpha2, alpha3, alpha4
Conditional Inference Random Forest	cforest	Classification, Regression	party	mtry
Conditional Inference Tree	ctree	Classification, Regression	party	mincriterion
Conditional Inference Tree	ctree2	Classification, Regression	party	maxdepth, mincriterion
Continuation Ratio Model for Ordinal Data	vglmContRatio	Classification	VGAM	parallel, link
Cost-Sensitive C5.0	C5.0Cost	Classification	C50, plyr	trials, model, winnow, cost
Cost-Sensitive CART	rpartCost	Classification	rpart	cp, Cost
Cubist	cubist	Regression	Cubist	committees, neighbors
Cumulative Probability Model for Ordinal Data	vglmCumulative	Classification	VGAM	parallel, link
DeepBoost	deepboost	Classification	deepboost	num_iter, tree_depth, beta, lambda, loss_type
Diagonal Discriminant Analysis	dda	Classification	sparsediscrim	model, shrinkage
Distance Weighted Discrimination with Polynomial Kernel	dwdPoly	Classification	kerndwd	lambda, qval, degree, scale
Distance Weighted Discrimination with Radial Basis Function Kernel	dwdRadial	Classification	kernlab, kerndwd	lambda, qval, sigma
Dynamic Evolving Neural-Fuzzy Inference System 	DENFIS	Regression	frbs	Dthr, max.iter
Elasticnet	enet	Regression	elasticnet	fraction, lambda
Ensemble Partial Least Squares Regression	enpls	Regression	enpls	maxcomp
Ensemble Partial Least Squares Regression with Feature Selection	enpls.fs	Regression	enpls	maxcomp, threshold
Ensembles of Generalized Lienar Models	randomGLM	Classification, Regression	randomGLM	maxInteractionOrder
eXtreme Gradient Boosting	xgbLinear	Classification, Regression	xgboost	nrounds, lambda, alpha, eta
eXtreme Gradient Boosting	xgbTree	Classification, Regression	xgboost, plyr	nrounds, max_depth, eta, gamma, colsample_bytree, min_child_weight, subsample
Extreme Learning Machine	elm	Classification, Regression	elmNN	nhid, actfun
Factor-Based Linear Discriminant Analysis	RFlda	Classification	HiDimDA	q
Flexible Discriminant Analysis	fda	Classification	earth, mda	degree, nprune
Fuzzy Inference Rules by Descent Method	FIR.DM	Regression	frbs	num.labels, max.iter
Fuzzy Rules Using Chi's Method	FRBCS.CHI	Classification	frbs	num.labels, type.mf
Fuzzy Rules Using Genetic Cooperative-Competitive Learning	GFS.GCCL	Classification	frbs	num.labels, popu.size, max.gen
Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh	FH.GBML	Classification	frbs	max.num.rule, popu.size, max.gen
Fuzzy Rules Using the Structural Learning Algorithm on Vague Environment	SLAVE	Classification	frbs	num.labels, max.iter, max.gen
Fuzzy Rules via MOGUL	GFS.FR.MOGUL	Regression	frbs	max.gen, max.iter, max.tune
Fuzzy Rules via Thrift	GFS.THRIFT	Regression	frbs	popu.size, num.labels, max.gen
Fuzzy Rules with Weight Factor	FRBCS.W	Classification	frbs	num.labels, type.mf
Gaussian Process	gaussprLinear	Classification, Regression	kernlab	None
